model_name,task,n_shot,performance,metric_name
MultiSynt/nemotron-cc-romanian-tower9b,belebele_ron_Latn,5,0.24444444444444444,"acc,none"
MultiSynt/nemotron-cc-italian-tower72b,belebele_ita_Latn,5,0.2722222222222222,"acc,none"
HPLT/hplt2c_cat_checkpoints,belebele_cat_Latn,5,0.25555555555555554,"acc,none"
MultiSynt/nemotron-cc-spanish-tower72b,global_mmlu_full_es,5,0.28307933342828656,"acc,none"
MultiSynt/nemotron-cc-swedish-tower72b,global_mmlu_full_sv,5,0.24875373878364906,"acc,none"
HPLT/hplt2c_isl_checkpoints,icelandic_winogrande,0,0.5110294117647058,"acc,none"
MultiSynt/nemotron-cc-norwegian-tower9b,belebele_nob_Latn,5,0.24333333333333335,"acc,none"
MultiSynt/nemotron-cc-dutch-tower9b,include_base_44_dutch,0,0.3176043557168784,"acc,none"
MultiSynt/nemotron-cc-basque-opus,belebele_eus_Latn,5,0.22666666666666666,"acc,none"
MultiSynt/nemotron-cc-french-tower9b,belebele_fra_Latn,5,0.2311111111111111,"acc,none"
HPLT/hplt2c_ita_checkpoints,include_base_44_italian,0,0.2591240875912409,"acc,none"
MultiSynt/nemotron-cc-portuguese-opus,global_mmlu_full_pt,5,0.2684090585386697,"acc,none"
MultiSynt/nemotron-cc-finnish-tower72b,include_base_44_finnish,0,0.26497277676951,"acc,none"
MultiSynt/nemotron-cc-french-tower9b,mgsm_native_cot_fr,5,0.008,"exact_match,strict-match"
MultiSynt/nemotron-cc-portuguese-opus,belebele_por_Latn,5,0.2733333333333333,"acc,none"
MultiSynt/nemotron-cc-spanish-tower72b,include_base_44_spanish,0,0.23454545454545456,"acc,none"
HPLT/hplt2c_por_checkpoints,belebele_por_Latn,5,0.25666666666666665,"acc,none"
HPLT/hplt2c_cat_checkpoints,copa_ca,0,0.658,"acc,none"
MultiSynt/nemotron-cc-portuguese-opus,include_base_44_portuguese,0,0.2540834845735027,"acc,none"
HPLT/hplt2c_nld_checkpoints,belebele_nld_Latn,5,0.2222222222222222,"acc,none"
MultiSynt/nemotron-cc-italian-tower72b,global_mmlu_full_it,5,0.2502492522432702,"acc,none"
HPLT/hplt2c_fra_checkpoints,mgsm_native_cot_fr,5,0.024,"exact_match,strict-match"
HPLT/hplt2c_nob_checkpoints,belebele_nob_Latn,5,0.23777777777777778,"acc,none"
MultiSynt/nemotron-cc-finnish-tower72b,belebele_fin_Latn,5,0.24,"acc,none"
HPLT/hplt2c_swe_checkpoints,belebele_swe_Latn,5,0.23777777777777778,"acc,none"
MultiSynt/nemotron-cc-polish-tower9b,belebele_pol_Latn,5,0.24333333333333335,"acc,none"
HPLT/hplt2c_swe_checkpoints,global_mmlu_full_sv,5,0.2513886910696482,"acc,none"
HPLT/hplt2c_fra_checkpoints,belebele_fra_Latn,5,0.2311111111111111,"acc,none"
HPLT/hplt2c_ron_checkpoints,global_mmlu_full_ro,5,0.2419883207520296,"acc,none"
MultiSynt/nemotron-cc-romanian-tower9b,global_mmlu_full_ro,5,0.2631391539666714,"acc,none"
MultiSynt/nemotron-cc-spanish-tower72b,mgsm_native_cot_es,5,0.012,"exact_match,strict-match"
HPLT/hplt2c_spa_checkpoints,belebele_spa_Latn,5,0.27,"acc,none"
HPLT/hplt2c_pol_checkpoints,include_base_44_polish,0,0.2718978102189781,"acc,none"
HPLT/hplt2c_ita_checkpoints,global_mmlu_full_it,5,0.26684233015239994,"acc,none"
HPLT/hplt2c_por_checkpoints,include_base_44_portuguese,0,0.21052631578947367,"acc,none"
MultiSynt/nemotron-cc-danish-tower9b,belebele_dan_Latn,5,0.23333333333333334,"acc,none"
HPLT/hplt2c_ron_checkpoints,belebele_ron_Latn,5,0.24888888888888888,"acc,none"
HPLT/hplt2c_deu_checkpoints,global_mmlu_full_de,5,0.24433841333143427,"acc,none"
HPLT/hplt2c_nld_checkpoints,global_mmlu_full_nl,5,0.2572283150548355,"acc,none"
MultiSynt/nemotron-cc-german-tower72b,belebele_deu_Latn,5,0.2866666666666667,"acc,none"
HPLT/hplt2c_pol_checkpoints,belebele_pol_Latn,5,0.26222222222222225,"acc,none"
MultiSynt/nemotron-cc-italian-tower72b,include_base_44_italian,0,0.23175182481751824,"acc,none"
MultiSynt/nemotron-cc-catalan-opus,copa_ca,0,0.688,"acc,none"
MultiSynt/nemotron-cc-polish-tower9b,include_base_44_polish,0,0.2062043795620438,"acc,none"
MultiSynt/nemotron-cc-spanish-tower72b,belebele_spa_Latn,5,0.2644444444444444,"acc,none"
HPLT/hplt2c_fin_checkpoints,include_base_44_finnish,0,0.2323049001814882,"acc,none"
MultiSynt/nemotron-cc-german-tower72b,global_mmlu_full_de,5,0.26071784646061813,"acc,none"
MultiSynt/nemotron-cc-catalan-opus,belebele_cat_Latn,5,0.22666666666666666,"acc,none"
HPLT/hplt2c_nld_checkpoints,include_base_44_dutch,0,0.132486388384755,"acc,none"
MultiSynt/nemotron-cc-icelandic-tower9b,icelandic_winogrande,0,0.5955882352941176,"acc,none"
HPLT/hplt2c_eus_checkpoints,belebele_eus_Latn,5,0.21666666666666667,"acc,none"
HPLT/hplt2c_spa_checkpoints,include_base_44_spanish,0,0.26,"acc,none"
MultiSynt/nemotron-cc-german-tower72b,include_base_44_german,0,0.26618705035971224,"acc,none"
HPLT/hplt2c_deu_checkpoints,include_base_44_german,0,0.3381294964028777,"acc,none"
MultiSynt/nemotron-cc-dutch-tower9b,belebele_nld_Latn,5,0.23444444444444446,"acc,none"
HPLT/hplt2c_fin_checkpoints,belebele_fin_Latn,5,0.26,"acc,none"
HPLT/hplt2c_fra_checkpoints,include_base_44_french,0,0.26252983293556087,"acc,none"
HPLT/hplt2c_spa_checkpoints,global_mmlu_full_es,5,0.2659165361059678,"acc,none"
HPLT/hplt2c_deu_checkpoints,belebele_deu_Latn,5,0.2677777777777778,"acc,none"
MultiSynt/nemotron-cc-dutch-tower9b,global_mmlu_full_nl,5,0.26940606751175045,"acc,none"
HPLT/hplt2c_pol_checkpoints,global_mmlu_full_pl,5,0.2480415895171628,"acc,none"
HPLT/hplt2c_por_checkpoints,global_mmlu_full_pt,5,0.26150121065375304,"acc,none"
HPLT/hplt2c_spa_checkpoints,mgsm_native_cot_es,5,0.024,"exact_match,strict-match"
MultiSynt/nemotron-cc-basque-opus,include_base_44_basque,0,0.266,"acc,none"
MultiSynt/nemotron-cc-swedish-tower72b,belebele_swe_Latn,5,0.2311111111111111,"acc,none"
MultiSynt/nemotron-cc-polish-tower9b,global_mmlu_full_pl,5,0.24319897450505626,"acc,none"
MultiSynt/nemotron-cc-french-tower9b,include_base_44_french,0,0.2720763723150358,"acc,none"
HPLT/hplt2c_ita_checkpoints,belebele_ita_Latn,5,0.23222222222222222,"acc,none"
HPLT/hplt2c_fra_checkpoints,global_mmlu_full_fr,5,0.2617148554336989,"acc,none"
HPLT/hplt2c_eus_checkpoints,include_base_44_basque,0,0.266,"acc,none"
MultiSynt/nemotron-cc-french-tower9b,global_mmlu_full_fr,5,0.2594359777809429,"acc,none"
HPLT/hplt2c_deu_checkpoints,mgsm_native_cot_de,5,0.012,"exact_match,strict-match"
HPLT/hplt2c_dan_checkpoints,belebele_dan_Latn,5,0.2411111111111111,"acc,none"
MultiSynt/nemotron-cc-german-tower72b,mgsm_native_cot_de,5,0.028,"exact_match,strict-match"
HPLT/hplt2c_spa_checkpoints,flores200:eng_Latn-spa_Latn,0,20.740552068441602,bleu
HPLT/hplt2c_fin_checkpoints,flores200:eng_Latn-fin_Latn,0,0.9309459130852806,bleu
HPLT/hplt2c_swe_checkpoints,flores200:eng_Latn-swe_Latn,0,18.812423219704428,bleu
HPLT/hplt2c_ron_checkpoints,flores200:ron_Latn-eng_Latn,0,15.625225132681171,bleu
HPLT/hplt2c_ita_checkpoints,flores200:eng_Latn-ita_Latn,0,21.226037733722652,bleu
MultiSynt/nemotron-cc-polish-tower9b,flores200:pol_Latn-eng_Latn,0,1.2564920216827833,bleu
HPLT/hplt2c_por_checkpoints,flores200:eng_Latn-por_Latn,0,35.88872403679909,bleu
HPLT/hplt2c_ita_checkpoints,flores200:ita_Latn-eng_Latn,0,22.98313346115423,bleu
MultiSynt/nemotron-cc-romanian-tower9b,flores200:ron_Latn-eng_Latn,0,1.1584224245277335,bleu
HPLT/hplt2c_pol_checkpoints,flores200:pol_Latn-eng_Latn,0,8.699857874879202,bleu
MultiSynt/nemotron-cc-danish-tower9b,flores200:dan_Latn-eng_Latn,0,1.8208475449864685,bleu
MultiSynt/nemotron-cc-german-tower72b,flores200:eng_Latn-deu_Latn,0,2.0774826987681334,bleu
MultiSynt/nemotron-cc-portuguese-opus,flores200:eng_Latn-por_Latn,0,2.63858696092667,bleu
MultiSynt/nemotron-cc-german-tower72b,flores200:deu_Latn-eng_Latn,0,0.6793075430431457,bleu
MultiSynt/nemotron-cc-dutch-tower9b,flores200:nld_Latn-eng_Latn,0,2.2062355935769946,bleu
MultiSynt/nemotron-cc-french-tower9b,flores200:fra_Latn-eng_Latn,0,1.7927609439484105,bleu
HPLT/hplt2c_fin_checkpoints,flores200:fin_Latn-eng_Latn,0,7.183679598446821,bleu
HPLT/hplt2c_dan_checkpoints,flores200:dan_Latn-eng_Latn,0,5.2704794923331,bleu
MultiSynt/nemotron-cc-italian-tower72b,flores200:ita_Latn-eng_Latn,0,1.3951868938559713,bleu
MultiSynt/nemotron-cc-polish-tower9b,flores200:eng_Latn-pol_Latn,0,1.0455339920543087,bleu
HPLT/hplt2c_ron_checkpoints,flores200:eng_Latn-ron_Latn,0,8.90384959816965,bleu
MultiSynt/nemotron-cc-portuguese-opus,flores200:por_Latn-eng_Latn,0,1.1767844982538709,bleu
HPLT/hplt2c_deu_checkpoints,flores200:deu_Latn-eng_Latn,0,28.23480219050266,bleu
HPLT/hplt2c_fra_checkpoints,flores200:eng_Latn-fra_Latn,0,33.39363935165881,bleu
HPLT/hplt2c_por_checkpoints,flores200:por_Latn-eng_Latn,0,32.655676623845906,bleu
MultiSynt/nemotron-cc-dutch-tower9b,flores200:eng_Latn-nld_Latn,0,1.7106601923924811,bleu
HPLT/hplt2c_nld_checkpoints,flores200:eng_Latn-nld_Latn,0,11.377297864624644,bleu
HPLT/hplt2c_nld_checkpoints,flores200:nld_Latn-eng_Latn,0,13.822059533142271,bleu
MultiSynt/nemotron-cc-spanish-tower72b,flores200:spa_Latn-eng_Latn,0,0.945667229319104,bleu
MultiSynt/nemotron-cc-danish-tower9b,flores200:eng_Latn-dan_Latn,0,0.410596568515246,bleu
MultiSynt/nemotron-cc-swedish-tower72b,flores200:swe_Latn-eng_Latn,0,0.36111897768731116,bleu
HPLT/hplt2c_dan_checkpoints,flores200:eng_Latn-dan_Latn,0,8.776585257800786,bleu
MultiSynt/nemotron-cc-french-tower9b,flores200:eng_Latn-fra_Latn,0,2.938624026418223,bleu
MultiSynt/nemotron-cc-finnish-tower72b,flores200:eng_Latn-fin_Latn,0,3.424353519439753,bleu
HPLT/hplt2c_deu_checkpoints,flores200:eng_Latn-deu_Latn,0,21.66906914013804,bleu
HPLT/hplt2c_pol_checkpoints,flores200:eng_Latn-pol_Latn,0,9.445191015407753,bleu
MultiSynt/nemotron-cc-finnish-tower72b,flores200:fin_Latn-eng_Latn,0,0.7690708954361745,bleu
HPLT/hplt2c_swe_checkpoints,flores200:swe_Latn-eng_Latn,0,20.562142878963993,bleu
MultiSynt/nemotron-cc-romanian-tower9b,flores200:eng_Latn-ron_Latn,0,1.261394942943181,bleu
MultiSynt/nemotron-cc-swedish-tower72b,flores200:eng_Latn-swe_Latn,0,3.5974606480374445,bleu
HPLT/hplt2c_spa_checkpoints,flores200:spa_Latn-eng_Latn,0,19.437836176950867,bleu
HPLT/hplt2c_fra_checkpoints,flores200:fra_Latn-eng_Latn,0,33.564425373462335,bleu
MultiSynt/nemotron-cc-italian-tower72b,flores200:eng_Latn-ita_Latn,0,1.6085375951074385,bleu
MultiSynt/nemotron-cc-spanish-tower72b,flores200:eng_Latn-spa_Latn,0,1.074330231911052,bleu
